Tile,Year,Common_Area_km2,Only_DETER_km2,Only_ICV_km2
,2016,22.478447892906363,208.23103589174866,95.24486543780692
,2017,102.89339743598244,297.8363311177446,100.17447592602997
,2018,93.80576380977293,344.40333327559193,155.52430440643312
,2019,132.64120771745388,531.4637774733887,94.31253373895011
,2020,64.52394696950815,668.363906343033,124.75801052545943
,2021,134.1397013665974,428.05933397395296,162.39227884847332
